device,storage,monthly_price,onetime_price,retail_price,contract_ufc,url
iphone x,64,41.67,0.0,999.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8530286
iphone 8,64,29.17,0.0,699.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8510261
iphone 8 plus,64,33.34,0.0,799.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8510273
galaxy note8,64,39.59,0.0,949.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8440478
galaxy s9,64,32.92,0.0,789.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8730723
galaxy s9+,64,38.13,0.0,914.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8730715
galaxy s8,64,27.3,0.0,654.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8260387
galaxy s8+,64,31.46,0.0,754.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8260353
iphone 7,32,22.92,0.0,549.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8040300
iphone 7 plus,32,27.92,0.0,669.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8040334
iphone 6s plus,32,22.92,0.0,549.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8040360
iphone 6s,32,18.75,0.0,449.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8040358
moto z2 force edition,64,25.63,0.0,614.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8410263
iphone se,32,14.59,0.0,349.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku7870569
galaxy s7,32,20.0,0.0,479.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku7840239
lg g6,32,24.38,0.0,584.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8220475
lg v30,64,33.34,0.0,799.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8510584
moto z force droid,32,17.46,0.0,418.99,0.0,
ipad mini 4,32,0.0,0.0,529.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku7730297
ipad pro 12.9,64,0.0,0.0,929.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8360525
ipad 9.7,32,0.0,0.0,459.99,359.99,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8840231
ipad pro 10.5,64,0.0,0.0,779.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8360504
galaxy tab e 8,16,0.0,0.0,199.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku7900547
galaxy tab s2,32,0.0,0.0,599.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8100224
lenovo moto tab,32,0.0,0.0,300.0,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8550291
at&t primetime,32,0.0,0.0,205.0,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8460228
galaxy j3 (2017),16,7.5,0.0,179.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8310324
lg x venture,32,13.75,0.0,329.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8360235
lg k20,16,5.0,0.0,119.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8410410
