device,storage,price,retail_price,url
Galaxy S9,64,699.00,729.00,https://www.metropcs.com/shop/phones/details/Samsung-Galaxy-S9-/610214656155
ZTE Blade Z Max,N/A,119.00,179.00,https://www.metropcs.com/shop/phones/details/ZTE-Blade-Z-Max-/610214654182
LG Aristo 2,N/A,59.00,139.00,https://www.metropcs.com/shop/phones/details/LG-Aristo-2-/610214655493
LG K20 Plus,N/A,99.00,169.00,https://www.metropcs.com/shop/phones/details/LG-K20-Plus-/610214652201
Galaxy J7 Prime,32,149.00,209.00,https://www.metropcs.com/shop/phones/details/Samsung-Galaxy-J7-Prime-32GB-/610214655691
iPhone X,64,999.00,999.00,https://www.metropcs.com/shop/phones/details/iPhone-X-64GB-Silver-/190198456700
iPhone SE,32,199.00,399.00,https://www.metropcs.com/shop/phones/details/iPhone-SE-32GB-Space-Gray-/190198291936
ZTE Avid TRIO,8,19.00,99.00,https://www.metropcs.com/shop/phones/details/ZTE-Avid-TRIO-/610214648570
Galaxy J3 Prime,16,59.00,139.00,https://www.metropcs.com/shop/phones/details/Samsung-Galaxy-J3-Prime-/610214652546
ZTE Avid 4,N/A,49.00,109.00,https://www.metropcs.com/shop/phones/details/ZTE-Avid-4-/610214654960
iPhone 8,64,699.00,699.00,https://www.metropcs.com/shop/phones/details/iPhone-8-64GB-Silver-/190198451781
iPhone 8 Plus,64,799.00,799.00,https://www.metropcs.com/shop/phones/details/iPhone-8-Plus-64GB-Silver-/190198453709
moto e,16,59.00,129.00,https://www.metropcs.com/shop/phones/details/moto-e-/610214653673
Alcatel A30 FIERCE,N/A,79.00,149.00,https://www.metropcs.com/shop/phones/details/Alcatel-A30-FIERCE-/610214654120
Coolpad Defiant,N/A,29.00,99.00,https://www.metropcs.com/shop/phones/details/Coolpad-Defiant-/610214652447
LG Stylo 3 PLUS,N/A,149.00,219.00,https://www.metropcs.com/shop/phones/details/LG-Stylo-3-PLUS-/610214652485
Galaxy J7 Prime,16,119.00,209.00,https://www.metropcs.com/shop/phones/details/Samsung-Galaxy-J7-Prime-/610214652539
LG Aristo,N/A,109.00,129.00,https://www.metropcs.com/shop/phones/details/LG-Aristo-/610214651044
Alcatel GO FLIP,N/A,29.00,89.00,https://www.metropcs.com/shop/phones/details/Alcatel-GO-FLIP-/610214648259
ZTE Cymbal Z-320,4,29.00,99.00,https://www.metropcs.com/shop/phones/details/ZTE-Cymbal-Z-320-/610214648464
Alcatel FIERCE 4,16,39.00,129.00,https://www.metropcs.com/shop/phones/details/Alcatel-FIERCE-4-/610214648136
iPhone SE,64,299.00,499.00,https://www.metropcs.com/shop/phones/details/iPhone-SE-64GB-Space-Gray-/888462773126
iPhone 7 Plus,32,669.00,769.00,https://www.metropcs.com/shop/phones/details/iPhone-7-Plus-32GB-Black-/190198155795
iPhone 7,128,649.00,749.00,https://www.metropcs.com/shop/phones/details/iPhone-7-128GB-Red-/190198360083
iPhone 7 Plus,128,769.00,869.00,https://www.metropcs.com/shop/phones/details/iPhone-7-Plus-128GB-Red-/190198354426
iPhone 7,32,549.00,649.00,https://www.metropcs.com/shop/phones/details/iPhone-7-32GB-Black-/190198066473
iPhone 6s,32,399.00,549.00,https://www.metropcs.com/shop/phones/details/iPhone-6s-32GB-Rose-Gold-/190198058621
HTC Desire 530,16,79.00,159.00,https://www.metropcs.com/shop/phones/details/HTC-Desire-530-/610214646606
