device,storage,monthly_price,onetime_price,retail_price,contract_ufc,url
iphone x,64,41.67,0.0,999.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8530286
iphone 8,64,29.17,0.0,699.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8510261
iphone 8 plus,64,33.34,0.0,799.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8510273
galaxy note8,64,40.0,0.0,960.0,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8440478
galaxy s9,64,33.0,0.0,792.0,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8730723
galaxy s9+,64,38.0,0.0,912.0,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8730715
galaxy s8,64,28.0,0.0,672.0,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8260387
iphone 7,32,22.92,0.0,549.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8040300
iphone 7 plus,32,27.92,0.0,669.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8040334
iphone 6s plus,32,22.92,0.0,549.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8040360
iphone 6s,32,18.75,0.0,449.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8040358
moto z2 force edition,64,16.5,0.0,792.0,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8410263
iphone se,32,14.59,0.0,349.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku7870569
lg g6,32,6.0,0.0,480.0,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8220475
moto z force droid,32,18.0,0.0,432.0,0.0,
ipad air 2,32,17.92,0.0,529.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku7460778
ipad mini 4,32,13.75,0.0,429.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku7730297
ipad pro 12.9,64,30.42,100.0,929.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8360525
ipad 9.7,32,15.0,0.0,459.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8840231
ipad pro 10.5,64,28.33,0.0,779.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku8360504
galaxy tab e 8,16,8.34,0.0,199.99,0.0,https://www.att.com/shop/wireless/deviceconfigurator.html?prefetched=true&sku=sku7900547
galaxy tab a,16,11.83,0.0,384.0,0.0,
slate 8 tablet,16,0.0,0.0,100.0,0.0,
moto e4,16,6.05,0.0,145.0,0.0,
moto e4 plus,16,10.0,30.0,270.0,0.0,
htc bolt,32,6.05,0.0,145.0,0.0,
lg stylo 3,16,10.0,30.0,270.0,0.0,
lg x power,16,11.25,0.0,270.0,0.0,
lg tribute hd,16,0.0,25.0,145.0,0.0,
lg tribute dynasty,16,6.05,0.0,145.0,0.0,
