device,storage,monthly_price,onetime_price,retail_price,contract_ufc,url
iphone x,64,30.0,279.99,999.99,0.0,https://www.t-mobile.com/cell-phone/apple-iphone-x?color=silver
iphone 8,64,29.17,0.0,699.99,0.0,https://www.t-mobile.com/cell-phone/apple-iphone-8?color=gold
iphone 8 plus,64,30.0,79.99,799.99,0.0,https://www.t-mobile.com/cell-phone/apple-iphone-8-plus?icid=WMD_TM_Q317APPLEP_23QX4NU2D6510239
galaxy note8,64,30.0,150.0,870.0,0.0,https://www.t-mobile.com/cell-phone/samsung-galaxy-note8?icid=WMD_TM_Q317SAMSUN_6L1EO39WVG9806
galaxy s9,64,30.0,0.0,720.0,0.0,https://www.t-mobile.com/cell-phone/samsung-galaxy-s9?icid=WMD_TMNG_18SMSGGS9_DHGSHJYY0C12472
galaxy s9+,64,30.0,120.0,840.0,0.0,https://www.t-mobile.com/cell-phone/samsung-galaxy-s9-plus?color=coralblue&memory=64gb
galaxy s8,64,25.0,0.0,600.0,0.0,https://www.t-mobile.com/cell-phone/samsung-galaxy-s8?color=midnightblack&memory=64gb
iphone 7,32,22.0,21.99,549.99,0.0,https://www.t-mobile.com/cell-phone/apple-iphone-7#Black
iphone 7 plus,32,26.0,45.99,669.99,0.0,https://www.t-mobile.com/cell-phone/apple-iphone-7-plus?color=black&memory=32gb
iphone 6s plus,32,22.0,21.99,549.0,0.0,https://www.t-mobile.com/cell-phone/apple-iphone-6s-plus?color=silver&memory=32gb
iphone 6s,32,18.0,17.99,449.0,0.0,https://www.t-mobile.com/cell-phone/apple-iphone-6s?color=Spacegray
moto z2 force edition,64,15.0,15.0,375.0,0.0,https://www.t-mobile.com/cell-phone/motorola-moto-z-force-edition-2nd-gen?icid=WMD_TMNG_Q317MOTOEA_SUDTLWHW1JL9417
iphone se,32,14.0,13.99,349.99,0.0,https://www.t-mobile.com/cell-phone/apple-iphone-se?color=Spacegray
lg g6,32,19.0,0.0,456.0,0.0,https://www.t-mobile.com/cell-phone/lg-g6?color=iceplatinum&memory=32gb
lg v30,64,29.0,0.0,696.0,0.0,https://www.t-mobile.com/cell-phone/lg-v30
ipad pro 12.9,64,30.0,209.99,929.99,0.0,https://www.t-mobile.com/internet-device/apple-ipad-pro-129-inch?color=spacegray&memory=64gb
ipad 9.7,32,18.0,27.99,459.99,0.0,https://www.t-mobile.com/internet-device/apple-ipad-6th-generation?color=gold&memory=32gb
ipad pro 10.5,64,30.0,59.99,779.99,0.0,https://www.t-mobile.com/internet-device/apple-ipad-pro-105-inch?color=rosegold&memory=64gb
galaxy tab e 8,34,10.0,0.0,240.0,0.0,https://www.t-mobile.com/internet-device/samsung-galaxy-tab-e
alcatel a30 8,16,6.0,0.0,144.0,0.0,https://www.t-mobile.com/internet-device/alcatel-a30-tablet-8-inch
lg g pad x2 8 plus,32,10.0,0.0,240.0,0.0,https://www.t-mobile.com/internet-device/lg-g-pad-x2-80-plus
coolpad defiant,8,4.0,4.0,100.0,0.0,https://www.t-mobile.com/cell-phone/coolpad-defiant
galaxy j3 prime,16,7.0,7.0,175.0,0.0,https://www.t-mobile.com/cell-phone/samsung-galaxy-j3-prime
lg stylo 3 plus,32,9.0,9.0,225.0,0.0,https://www.t-mobile.com/cell-phone/lg-stylo-3-plus
lg aristo,16,6.0,6.0,150.0,0.0,https://www.t-mobile.com/cell-phone/lg-aristo
tmobile revvl,32,6.0,6.0,150.0,0.0,https://www.t-mobile.com/cell-phone/t-mobile-revvl
