device,storage,monthly_price,onetime_price,retail_price,contract_ufc,url
iphone x,64,41.66,0.0,999.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-x/
iphone 8,64,29.16,0.0,699.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-8/
iphone 8 plus,64,33.33,0.0,799.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-8-plus/
galaxy note 8,64,27.5,0.0,960.0,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-note-8/
galaxy s9,64,25.0,0.0,799.99,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-s9/
galaxy s9+,64,26.24,0.0,929.99,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-s9-plus/
galaxy s8,64,29.0,0.0,696.0,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-s8/?intcmp=INT-SITESEARCH-REDIRECT-GALAXY8
galaxy s8+,64,32.0,0.0,768.0,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-s8-plus/
iphone 7,32,22.91,0.0,549.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-7/
iphone 7 plus,32,27.91,0.0,669.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-7-plus/
iphone 6s plus,32,22.91,0.0,549.99,0.0,http://www.verizonwireless.com/smartphones/apple-iphone-6s-plus/
iphone 6s,32,18.74,0.0,449.99,0.0,http://www.verizonwireless.com/smartphones/apple-iphone-6s/
moto z2 force edition,64,19.0,0.0,756.0,0.0,https://www.verizonwireless.com/smartphones/moto-z2-force/
iphone se,32,10.0,0.0,349.99,0.0,http://www.verizonwireless.com/smartphones/apple-iphone-se/
galaxy s7,32,20.0,0.0,480.0,0.0,http://www.verizonwireless.com/smartphones/samsung-galaxy-s7/
google pixel xl,32,27.91,0.0,669.99,0.0,https://www.verizonwireless.com/smartphones/google-pixel-xl/
google pixel 2xl,64,22.91,0.0,849.99,0.0,https://www.verizonwireless.com/smartphones/google-pixel-2-xl/
google pixel 2,64,27.08,0.0,649.99,0.0,https://www.verizonwireless.com/smartphones/google-pixel-2/
lg g6,32,28.0,0.0,672.0,0.0,https://www.verizonwireless.com/smartphones/lg-g6/
lg v30,64,35.0,0.0,840.0,0.0,https://www.verizonwireless.com/smartphones/lg-v30/
moto z2 play,32,10.0,0.0,408.0,0.0,https://www.verizonwireless.com/smartphones/moto-z2-play/
moto force droid,32,17.0,0.0,408.0,0.0,https://www.verizonwireless.com/smartphones/moto-z-force-droid/
ipad pro 12.9,64,38.74,0.0,929.99,779.99,https://www.verizonwireless.com/tablets/apple-ipad-pro-12-9/
ipad 9.7,32,19.16,0.0,459.99,309.99,https://www.verizonwireless.com/tablets/ipad-9-7/#sku=sku2970738
ipad pro 10.5,64,32.49,0.0,779.99,629.99,https://www.verizonwireless.com/tablets/apple-ipad-pro-10-5/
galaxy tab s3,34,29.16,0.0,699.99,599.99,https://www.verizonwireless.com/tablets/samsung-galaxy-tab-s3/#sku=sku2500394
galaxy tab e 8,34,10.41,0.0,249.99,149.99,https://www.verizonwireless.com/tablets/samsung-galaxy-tab-e-32gb/#sku=sku2760160
verizon ellipsis 8 hd,16,10.41,0.0,249.99,99.99,https://www.verizonwireless.com/tablets/ellipsis-8-hd/
verizon ellipsis 10,16,12.49,0.0,299.99,149.99,http://www.verizonwireless.com/tablets/verizon-ellipsis-10/
verizon gizmotab,16,10.41,0.0,249.99,99.99,https://www.verizonwireless.com/tablets/verizon-gizmotab/#sku=sku2210544
asus zenpad 10,32,13.74,0.0,329.99,179.99,https://www.verizonwireless.com/tablets/asus-zenpad-z10/#sku=sku2180006
asus zenpad 8s,16,10.41,0.0,249.99,99.99,https://www.verizonwireless.com/tablets/asus-zenpad-z8s/#sku=sku2600003
kyocera duraforce pro,32,7.0,0.0,168.0,0.0,https://www.verizonwireless.com/smartphones/kyocera-duraforce-pro/#sku=sku2260136
lg k20 v,16,7.0,0.0,168.0,0.0,https://www.verizonwireless.com/smartphones/lg-k20-v/
