device,storage,price,retail_price,url
LG Zone 4,16,114.99,114.99,https://www.verizonwireless.com/prepaid/smartphones/lg-zone-4-prepaid/
iPhone 6,32,199.99,199.99,https://www.verizonwireless.com/prepaid/smartphones/iphone-6-space-gray-prepaid/
iPhone SE Silver,32,159.99,159.99,https://www.verizonwireless.com/prepaid/smartphones/apple-iphone-se-silver-prepaid/
LG Zone 3,8,69.99,69.99,https://www.verizonwireless.com/prepaid/smartphones/lg-optimus-zone-3-prepaid/
Galaxy J7,16,179.90,179.90,https://www.verizonwireless.com/prepaid/smartphones/samsung-galaxy-j7-prepaid/
Moto e4,16,69.99,69.99,https://www.verizonwireless.com/prepaid/smartphones/moto-e4-prepaid/
Galaxy J3 Mission,16,99.99,99.99,https://www.verizonwireless.com/prepaid/smartphones/samsung-galaxy-j3-mission-prepaid/
ZTE Cymbal LTE,4,49.99,49.99,https://www.verizonwireless.com/prepaid/smartphones/zte-cymbal-lte-prepaid/
LG K8 V,16,89.99,89.99,https://www.verizonwireless.com/prepaid/smartphones/lg-k8v-prepaid/
Galaxy J3 Eclipse,16,168.00,168.00,https://www.verizonwireless.com/prepaid/smartphones/samsung-galaxy-j3-eclipse-prepaid/
ZTE Blade Vantage,16,49.99,49.99,https://www.verizonwireless.com/prepaid/smartphones/zte-blade-vantage-prepaid/
iPhone 6s,32,449.99,449.99,https://www.verizonwireless.com/prepaid/smartphones/apple-iphone-6s-prepaid/
iPhone 6s Plus,32,549.99,549.99,https://www.verizonwireless.com/prepaid/smartphones/apple-iphone-6s-plus-prepaid/
iPhone SE,32,349.99,349.99,https://www.verizonwireless.com/prepaid/smartphones/apple-iphone-se-prepaid/
Moto e4 Plus,16,109.99,109.99,https://www.verizonwireless.com/prepaid/smartphones/moto-e4-plus-prepaid/
Galaxy S7,32,480.00,480.00,https://www.verizonwireless.com/prepaid/smartphones/samsung-galaxy-s7-prepaid/
iPhone 7,32,549.99,549.99,https://www.verizonwireless.com/prepaid/smartphones/apple-iphone-7-prepaid/
LG G Vista,8,192.00,192.00,https://www.verizonwireless.com/prepaid/smartphones/lg-g-vista-prepaid/
iPhone 7 Plus,32,669.99,669.99,https://www.verizonwireless.com/prepaid/smartphones/apple-iphone-7-plus-prepaid/
Galaxy S8+,64,768.00,768.00,https://www.verizonwireless.com/prepaid/smartphones/samsung-galaxy-s8-plus-prepaid/
LG K20 V,16,168.00,168.00,https://www.verizonwireless.com/prepaid/smartphones/lg-k20-v-prepaid/
Galaxy S8,64,696.00,696.00,https://www.verizonwireless.com/prepaid/smartphones/samsung-galaxy-s8-prepaid/
LG Stylo 2 V,16,240.00,240.00,https://www.verizonwireless.com/prepaid/smartphones/lg-stylo-2-v-prepaid/
Moto Z2 Play,32,408.00,408.00,https://www.verizonwireless.com/prepaid/smartphones/moto-z2-play-prepaid/
KyoceraDuraForce PRO,32,408.00,408.00,https://www.verizonwireless.com/prepaid/smartphones/kyocera-duraforce-pro-prepaid/
Galaxy S9,64,799.99,799.99,https://www.verizonwireless.com/prepaid/smartphones/samsung-galaxy-s9-prepaid/
Pixel 2,64,649.99,649.99,https://www.verizonwireless.com/prepaid/smartphones/google-pixel-2-prepaid/
Galaxy S9+,64,929.99,929.99,https://www.verizonwireless.com/prepaid/smartphones/samsung-galaxy-s9-plus-prepaid/
iPhone 8,64,699.99,699.99,https://www.verizonwireless.com/prepaid/smartphones/apple-iphone-8-prepaid/
Galaxy Note8,64,960.00,960.00,https://www.verizonwireless.com/prepaid/smartphones/samsung-galaxy-note-8-prepaid/
iPhone 8 Plus,64,799.99,799.99,https://www.verizonwireless.com/prepaid/smartphones/apple-iphone-8-plus-prepaid/
Pixel 2 XL,64,849.99,849.99,https://www.verizonwireless.com/prepaid/smartphones/google-pixel-2-xl-prepaid/
iPhone X,64,999.99,999.99,https://www.verizonwireless.com/prepaid/smartphones/apple-iphone-x-prepaid/
ASUSZenFone V Live,16,168.00,168.00,https://www.verizonwireless.com/prepaid/smartphones/asus-zenfone-v-live-prepaid/
LG V30,64,840.00,840.00,https://www.verizonwireless.com/prepaid/smartphones/lg-v30-prepaid/
Moto Z2 Force Edition,64,756.00,756.00,https://www.verizonwireless.com/prepaid/smartphones/moto-z2-force-prepaid/
